Luis,Joyanes,0
A.,Silberschatz,1
James,Gosling,2
David,Gries,3
Jay E.,Aronson,4
Isidro Ramos,Salavert,5
Terrence W.,Pratt,6
G. S.,Graham,7
Chuck,Musciano,8
Margrethe H.,Olson,9
Mariano Barrón,Ruiz,10
Frank G.,Pagan,11
Fred B.,Schneider,12
Harvey M.,Deitel,13
Robert W.,Sebesta,14
Mark,Maslakowski,15
Bjarne,Stroustrup,16
Gerald R.,Peterson,17
John B.,Peatman,18
Jeffrey S.,Rosenthal,19
E. D.,Lazowska,20
Larry L.,Peterson,21
Bruce S.,Davie,22
Ismael,Jeder,23
NA,NA,24
Rainer,Handel,25
A. van,Dam,26
Oscar,Meza,27
NA,Kendall,28
Ralph P.,Grimaldi,29
Richard H. Eckhouse,Jr.,30
Shamkant B.,Navathe,31
R. A.,Hirschheim,32
Edelmira,Pasarella,33
A.,Kaldewaij,34
Mary E. S.,Loomis,35
NA,Institute of Industrial Automation and Sofware Engineering,36
Michael J.,Evans,37
Ramez E.,Elmasri,38
Allen,Macro,39
J.,Peterson,40
John G. Burch,Jr.,41
Gérard,LeBlanc,42
Ya. Z.,Tsypkin,43
Gustavo,Lopez,44
Kornel,Terplan,45
David,Kroenke,46
Vicente,Yriarte,47
Steven,Alter,48
John E.,Hopcroft,49
NA,Meyer,50
Gilles,Brassard,51
Margaret A.,Ellis,52
Pedro R.,Borges,53
Wolfgang K.,Giloi,54
Judea,Pearl,55
Miguel A.,Revilla,56
Douglas V.,Hall,57
Barbara,Liskov,58
NA,Taha,59
Kai-Yeung,Siu,60
Kenneth H.,Rosen,61
Douglas E.,Comer,62
Olen R.,Pearson,63
Craig,Larman,64
David W.,Etherington,65
Kendall E.,Atkinson,66
Johyce,Farrell,67
V. E.,Cheong,68
M. Pauline,Baker,69
James M.,Farber,70
J. Douglas,Faire,71
P.,Galvin,72
Allen B.,Tucker,73
John W.,Jewett,74
David A.,Patterson,75
William W.,Collier,76
Frederick J.,Hill,77
Xavier Franch,Gutiérrez,78
Cristina,Zoltan,79
Jerrol E.,Marsden,80
Alan M.,Davis,81
Philippe J.,Gabrini,82
José,Aguilar,83
Jeffrey D.,Ullman,84
Michael A.,Arbib,85
Bill,Kennedy,86
Dee-Ann,LeBlanc,87
Ken,Arnold,88
John L.,Hennessy,89
Gerard,Tel,90
James A.,Senn,91
Donald,Hearn,92
Michael L.,Scott,93
Douglas,Figueroa,94
Charles T.,Meadow,95
N. A. J.,Hastings,96
Ronald L.,Rivest,97
J. Mack,Adams,98
Ravi,Sethi,99
Elliote Rusty,Harold,100
Oscar Pastor,Lopez,101
Arman,Danesh,102
María Margarita,Olivares,103
Mark A.,Dye,104
Rajeev,Motwani,105
Efraim,Turban,106
Samuel,Karlin,107
David L.,Stevens,108
Maruja,Ortega,109
R. C.,Holt,110
Monica S.,Lam,111
Raymond A.,Serway,112
Harold,Abelson,113
David,Harel,114
Michael J.,Miller,115
C. J.,Date,116
Harry C.,Katz,117
J. D.,Foley,118
Francis,Sears,119
M. Tamer,Ozsu,120
Steven S.,Skiena,121
Anthony J.,Tromba,122
Felix R. Strater,Jr,123
I.,Sommerville,124
M. Morris,Mano,125
Richard R.,Rosinski,126
Rick,MacDonald,127
Michael,Pinedo,128
NA,Microsoft,129
Mark,Zemansky,130
Steven A.,Przybylski,131
Alfred V.,Aho,132
L. Robert,Morris,133
Timothy,Budd,134
Paul,Bratley,135
Louis,Baker,136
Kevin,Stoltz,137
Glenn W.,Rowe,138
Vwani,Roychowdhury,139
Patrick,Valduriez,140
NA,Weingarten,141
Kenneth C.,Louden,142
NA,Knuth,143
Xiomara,Contreras,144
Andrew S.,Tanenbaum,145
Ernst,Leiss,146
John T.,Demel,147
David,Holmes,148
Uyless,Black,149
Herbert B.,Enderton,150
David,Flanagan,151
Henry,Ledgard,152
Dave,Chaffey,153
Gary,Cornell,154
NA,Autor,155
Niklaus,Wirth,156
Jean- Paul,Tremblay,157
Thomas H.,Cormen,158
Graham,Glass,159
Paul G.,Sorenson,160
Richard L.,Burden,161
Werner,Feibel,162
Michael,Marcotty,163
Augusto,Vega,164
Gordon B.,Davis,165
Thomas,Kailath,166
Richard,Johnsonbaugh,167
Barry L.,Kurtz,168
Dennis M.,Ritchie,169
Brian K.,Kernighan,170
William,Stallings,171
Charles E.,Leiserson,172
