Titulo del Libro,Autor,Area,No. ,Código
Calculo Vectorial,"Jerrol E. Marsden, Anthony J. Tromba",Matemáticas,2,101
Introduction to Algorithms,"Thomas H. Cormen, Charles E. Leiserson, Ronald L. Rivest",Algoritmos,3,501
Programming: The Derivation of Algorithms,A. Kaldewaij,Algoritmos,2,502
Operating Systems – Design and Implementation,Andrew S. Tanenbaum,Sistemas Operativos,2,901
Operating Systems Concepts,"A. Silberschatz, P. Galvin",Sistemas Operativos,3,902
An Introduction to Operating Systems,Harvey M. Deitel,Sistemas Operativos,1,903
Modern Operating Systems,Andrew S. Tanenbaum,Sistemas Operativos,1,904
Introduccion a la Computación Paralela,"José Aguilar, Ernst Leiss",Sistemas Operativos,1,905
Distributed Operating Systems,Andrew S. Tanenbaum,Sistemas Operativos,1,906
Sistemas Operativos – Conceptos Fundamentales,"A. Silberschatz, J. Peterson, P. Galvin",Sistemas Operativos,2,907
"Compiladores – Principios, tecnicas y herramientas","Alfred V. Aho, Monica S. Lam, Ravi Sethi",Lenguajes de Programación,2,1301
Curso de Probabilidades,María Margarita Olivares,Probabilidades,1,601
Probabilidad y Aplicaciones Estadisticas,Meyer,Probabilidades,1,602
Probabilidad y Estadistica,"Michael J. Evans, Jeffrey S. Rosenthal",Probabilidades,1,603
Reasoning About Paraller Architectures,William W. Collier,Sistemas Operativos,1,908
Structured Concurrent Programming with Operating Systems Applications,"R. C. Holt, E. D. Lazowska, G. S. Graham",Sistemas Operativos,1,909
Operating Systems – Internal and Design Principles,William Stallings,Sistemas Operativos,1,910
Cache and Memory Hierarchy Design,Steven A. Przybylski,Sistemas Operativos,1,911
Concepts of Programming Languages,Robert W. Sebesta,Lenguajes de Programación,2,1302
Programming Languages: Design and Implementation,Terrence W. Pratt,Lenguajes de Programación,3,1303
Software Engineering for Real-Time Systems,Institute of Industrial Automation and Sofware Engineering,Ingeniera de Software,1,1101
Programming Language Pragmatics,Michael L. Scott,Lenguajes de Programación,1,1304
Formal Specification of Programming Languages,Frank G. Pagan,Lenguajes de Programación,1,1305
Investigación de Operaciones,Taha,Modelos Lineales,3,1201
UNIX for Programmers and Users,Graham Glass,Sistemas Operativos,1,912
LINUX System Administration – Black Book,Dee-Ann LeBlanc,Sistemas Operativos,1,913
Grafos y Algoritmos,"Oscar Meza, Maruja Ortega",Algoritmos,7,503
"Algebraic Theory of Machines, Languages and Semigroups",Michael A. Arbib,Computación,1,9901
OASIS V2: Un lenguaje de Especificación Orientado a Objetos,"Oscar Pastor Lopez, Isidro Ramos Salavert",Computación General,1,701
Lenguajes de Programación – Conceptos y Constructores,Ravi Sethi,Lenguajes de Programación,1,1306
Structure and Interpelation of Computer Programs,Harold Abelson,Computación,1,9902
Programming Language Landscape,"Michael Marcotty, Henry Ledgard",Lenguajes de Programación,1,1307
Lenguajes de Programación,Allen B. Tucker,Lenguajes de Programación,1,1308
Translation of Computer Languages,Weingarten,Lenguajes de Programación,1,1309
"Introducción a la Teoría de Automatas, Lenguajes y Computación","John E. Hopcroft, Rajeev Motwani, Jeffrey D. Ullman",Lenguajes de Programación,2,1310
An Introduction to Data Structures With Applications,"Jean- Paul Tremblay, Paul G. Sorenson",Algoritmos,1,504
Fundamentals of Algorithmics,"Gilles Brassard, Paul Bratley",Algoritmos,1,505
Introducción a la Programación – Lógica y Diseño,Johyce Farrell,Algoritmos,1,506
Redes de Computadoras,Andrew S. Tanenbaum,Redes,5,1501
Analisis y Diseño de Algoritmos,"Gustavo Lopez, Ismael Jeder, Augusto Vega",Algoritmos,1,507
Algoritmics – The Spirit of Computing,David Harel,Algoritmos,1,508
Sistemas de Información Gerencial,"Gordon B. Davis, Margrethe H. Olson",Miscelanea,1,1601
Programming with BASIC – A Practical Approach,Olen R. Pearson,Computación General,1,702
Principles of Compiler Design,"Alfred V. Aho, Jeffrey D. Ullman",Lenguajes de Programación,3,1311
"The Theory of Parsing, Translation, and Compiling","Alfred V. Aho, Jeffrey D. Ullman",Lenguajes de Programación,1,1312
"The Theory of Parsing, Translation, and Compiling","Alfred V. Aho, Jeffrey D. Ullman",Lenguajes de Programación,2,1313
Construcción de Compiladores,Kenneth C. Louden,Lenguajes de Programación,1,1314
Dynamic Programming with Management Applications,N. A. J. Hastings,Miscelanea,1,1602
The Art of Computer Programming – Sorting and Searching,Knuth,Algoritmos,1,509
The Art of Computer Programming – Seminumerical Algorithms,Knuth,Algoritmos,1,510
Information Systems,Steven Alter,Sistemas de Información,1,1001
Decision Support Systems and Intelligent Systems,"Efraim Turban, Jay E. Aronson",Sistemas de Información,1,1002
Sistemas de Información – Teoria y Practica,"John G. Burch Jr., Felix R. Strater Jr",Sistemas de Información,1,1003
Analisis y Diseño de Sistemas de Información,James A. Senn,Sistemas de Información,2,1004
Management Information Systems,David Kroenke,Sistemas de Información,1,1005
Analisis y Diseño de Sistemas,Kendall,Sistemas de Información,1,1006
