Titulo del Libro,Autor,Area,No. 
Calculo Vectorial,"Jerrol E. Marsden, Anthony J. Tromba",Matemáticas,2
Introduction to Algorithms,"Thomas H. Cormen, Charles E. Leiserson, Ronald L. Rivest",Algoritmos,3
Programming: The Derivation of Algorithms,A. Kaldewaij,Algoritmos,2
Operating Systems – Design and Implementation,Andrew S. Tanenbaum,Sistemas Operativos,2
Operating Systems Concepts,"A. Silberchatz, P. Galvin",Sistemas Operativos,3
An Introduction to Operating Systems,Harvey M. Deitel,Sistemas Operativos,1
Modern Operating Systems,Andrew S. Tanenbaum,Sistemas Operativos,1
Introduccion a la Computación Paralela,"José Aguilar, Ernst Leiss",Sistemas Operativos,1
Distributed Operating Systems,Andrew S. Tanenbaum,Sistemas Operativos,1
Sistemas Operativos – Conceptos Fundamentales,"A. Silberschatz, J. Peterson, P. Galvin",Sistemas Operativos,2
"Compiladores – Principios, tecnicas y herramientas","Alfred V. Aho, Monica S. Lam, Ravi Sethi",Lenguajes de Programación,2
Curso de Probabilidades,María Margarita Olivares,Probabilidades,1
Probabilidad y Aplicaciones Estadisticas,Meyer,Probabilidades,1
Probabilidad y Estadistica,"Michael J. Evans, Jeffrey S. Rosenthal",Probabilidades,1
Reasoning About Paraller Architectures,William W. Collier,Sistemas Operativos,1
Structured Concurrent Programming with Operating Systems Applications,"R. C. Holt, E. D. Lazowska, G. S. Graham",Sistemas Operativos,1
Operating Systems – Internal and Design Principles,William Stallings,Sistemas Operativos,1
Cache and Memory Hierarchy Design,Steven A. Przybylski,Sistemas Operativos,1
Concepts of Programming Languages,Robert W. Sebesta,Lenguajes de Programación,2
Programming Languages: Design and Implementation,Terrence W. Pratt,Lenguajes de Programación,3
Software Engineering for Real-Time Systems,Institute of Industrial Automation and Sofware Engineering,Ingeniera de Software,1
Programming Language Pragmatics,Michael L. Scott,Lenguajes de Programación,1
Formal Specification of Programming Languages,Frank G. Pagan,Lenguajes de Programación,1
Investigación de Operaciones,Taha,Modelos Lineales,3
UNIX for Programmers and Users,Graham Glass,Sistemas Operativos,1
LINUX System Administration – Black Book,Dee-Ann LeBlanc,Sistemas Operativos,1
Grafos y Algoritmos,"Oscar Meza, Maruja Ortega",Algoritmos,7
"Algebraic Theory of Machines, Languages and Semigroups",Michael A. Arbib,,1
OASIS V2: Un lenguaje de Especificación Orientado a Objetos,"Oscar Pastor Lopez, Isidro Ramos Salavert",Computación General,1
Lenguajes de Programación – Conceptos y Constructores,Ravi Sethi,Lenguajes de Programación,1
Structure and Interpelation of Computer Programs,Harold Abelson,,1
Programming Language Landscape,"Michael Marcotty, Henry Ledgard",Lenguajes de Programación,1
Lenguajes de Programación,Allen B. Tucker,Lenguajes de Programación,1
Translation of Computer Languages,Weingarten,Lenguajes de Programación,1
"Introducción a la Teoría de Automatas, Lenguajes y Computación","John E. Hopcroft, Rajeev Motwani, Jeffrey D. Ullman",Lenguajes de Programación,2
An Introduction to Data Structures With Applications,"Jean- Paul Tremblay, Paul G. Sorenson",Algoritmos,1
Fundamentals of Algorithmics,"Gilles Brassard, Paul Bratley",Algoritmos,1
Introducción a la Programación – Lógica y Diseño,Johyce Farrell,Algoritmos,1
Redes de Computadoras,Andrew S. Tanenbaum,Redes,5
Analisis y Diseño de Algoritmos,"Gustavo Lopez, Ismael Jeder, Augusto Vega",Algoritmos,1
Algoritmics – The Spirit of Computing,David Harel,Algoritmos,1
Sistemas de Información Gerencial,"Gordon B. Davis, Margrethe H. Olson",Miscelanea,1
Programming with BASIC – A Practical Approach,Olen R. Pearson,Computación General,1
Principles of Compiler Design,"Alfred V. Aho, Jeffrey D. Ullman",Lenguajes de Programación,3
"The Theory of Parsing, Translation, and Compiling","Alfred V. Aho, Jeffrey D. Ullman",Lenguajes de Programación,1
"The Theory of Parsing, Translation, and Compiling","Alfred V. Aho, Jeffrey D. Ullman",Lenguajes de Programación,2
Construcción de Compiladores,Kenneth C. Louden,Lenguajes de Programación,1
Dynamic Programming with Management Applications,N. A. J. Hastings,Miscelanea,1
The Art of Computer Programming – Sorting and Searching,Knuth,Algoritmos,1
The Art of Computer Programming – Seminumerical Algorithms,Knuth,Algoritmos,1
Information Systems,Steven Alter,Sistemas de Información,1
Decision Support Systems and Intelligent Systems,"Efraim Turban, Jay E. Aronson",Sistemas de Información,1
Sistemas de Información – Teoria y Practica,"John G. Burch Jr., Felix R. Strater Jr",Sistemas de Información,1
Analisis y Diseño de Sistemas de Información,James A. Senn,Sistemas de Información,2
Management Information Systems,David Kroenke,Sistemas de Información,1
Analisis y Diseño de Sistemas,Kendall,Sistemas de Información,1
The Analysis of Information Systems,Charles T. Meadow,Sistemas de Información,1
Computer Networks,"Larry L. Peterson, Bruce S. Davie",Redes,1
Complete Encyclopedia of Networking,Werner Feibel,Redes,1
High-Speed Networks,William Stallings,Redes,1
Todo Acerca de… Redes de Computación,Kevin Stoltz,Redes,1
Internetworking with TCP/IP,"Douglas E. Comer, David L. Stevens",Redes,3
Internetworking with TCP/IP,"Douglas E. Comer, David L. Stevens",Redes,1
Telecommunications – Reestructuring Work and Employment Relations,Harry C. Katz,Redes,1
The Business Guide to Local Area Networks,William Stallings,Redes,1
"Groupware, Workflow and Intranets",Dave Chaffey,Redes,1
El Lenguaje de Programación C,"Brian K. Kernighan, Dennis M. Ritchie",Computación General,2
"ATM Networks – Concepts, Protocols, Applications",Rainer Handel,Miscelanea,1
Local Area Networks,"V. E. Cheong, R. A. Hirschheim",Redes,1
"Redes de Computadoras – Protocolos, Normas e Interfaces",Uyless Black,Redes,1
Communication Networks Management,Kornel Terplan,Redes,1
An Introduction to Computer Science with Modula-2,"J. Mack Adams, Philippe J. Gabrini, Barry L. Kurtz",Computación General,1
Aspectos Básicos de Networking,"Mark A. Dye, Rick MacDonald",Redes,1
Adaptation and Learning in Automatic Systems,Ya. Z. Tsypkin,,1
Software Requirements – Analysis and Specification,Alan M. Davis,Ingeniera de Software,1
